('WBD', 42200.15675884894, -11.186678448000002, 95, 2882.7832411509976, 0.8842105263157894, '60, 16, 2.0, 12, 2.0')
('WBD', 39882.04695694001, -12.900027, 121, 3598.4630430599987, 0.8429752066115702, '30, 10, 2.0, 12, 2.0')
('WBD', 37944.998799533, -11.186678448000002, 126, 3584.931200466999, 0.8492063492063492, '60, 10, 2.0, 12, 2.0')
('WBD', 35138.65779397895, -11.186678448000002, 84, 2606.6622060209984, 0.8214285714285714, '60, 16, 2.0, 12, 3.0')
('WBD', 34566.616212493966, -2984.4999418710017, 115, 3495.8337875059988, 0.808695652173913, '20, 10, 2.0, 12, 2.0')
('CF', 21254.867440891023, -16.314165744, 121, 1400.5425591089995, 0.768595041322314, '60, 10, 2.0, 8, 3.0')
('CF', 20302.95226271501, -16.319554572, 117, 1350.5777372849996, 0.7521367521367521, '60, 10, 2.0, 8, 4.0')
('CF', 18936.422323173018, -16.319554572, 114, 1312.9276768269997, 0.7456140350877193, '60, 10, 2.0, 8, 5.0')
('CF', 18581.850670176, -16.108956112, 118, 1357.3293298239992, 0.7372881355932204, '40, 10, 2.0, 8, 4.0')
('WHR', 18453.657697910996, -5.599461071, 66, 377.29230208900015, 0.7878787878787878, '80, 24, 2.0, 8, 5.0')
('CF', 18434.86015029201, -16.114133344000003, 111, 1302.2298497080003, 0.7747747747747747, '80, 10, 2.0, 8, 3.0')
('WHR', 18054.656631429996, -5.596085153000001, 66, 377.2833685700001, 0.7878787878787878, '80, 24, 2.0, 8, 4.0')
('SIVB', 17017.432696246007, -3.5563949900000003, 54, 198.9573037540001, 0.7777777777777778, '30, 16, 2.0, 12, 5.0')
('ILMN', 16558.436934401005, -210.5880895360026, 84, 373.03306559899994, 0.6904761904761905, '80, 16, 2.0, 8, 5.0')
('PHM', 16383.361336386988, -18.102474694, 43, 693.7686636129998, 0.8372093023255814, '80, 40, 2.0, 8, 5.0')
('DISH', 16295.121941365001, -19.681335905, 35, 1157.7880586350004, 0.9142857142857143, '80, 40, 2.0, 12, 5.0')
('APA', 16182.014785256008, -2368.4663900109954, 49, 1230.585214744, 0.7959183673469388, '80, 40, 2.0, 8, 4.0')
('DHI', 16162.56841681702, -10.504404606, 98, 942.6015831829994, 0.8163265306122449, '80, 16, 2.0, 8, 2.0')
('HAL', 16125.700754566018, -35.03697663, 120, 3292.299245434, 0.7333333333333333, '60, 10, 2.0, 8, 4.0')
('HAL', 16122.67534417202, -296.59225895499486, 129, 3491.8246558280025, 0.7286821705426356, '40, 10, 2.0, 8, 4.0')
('LNC', 16024.21174410499, -13.42049358, 87, 1257.578255895, 0.7241379310344828, '30, 16, 2.0, 8, 5.0')
('CZR', 16017.665432301997, -9.240242647999999, 52, 664.2345676979998, 0.75, '80, 16, 2.0, 12, 5.0')
('WHR', 16003.015057292014, -5.592857627000001, 67, 384.2149427080002, 0.7910447761194029, '80, 24, 2.0, 8, 3.0')
('SIVB', 15794.340800757009, -3.5563949900000003, 54, 198.93919924300005, 0.7777777777777778, '30, 16, 2.0, 12, 4.0')
('LNC', 15524.475592786997, -13.42049358, 88, 1273.844407213, 0.7272727272727273, '30, 16, 2.0, 8, 4.0')
('WHR', 15482.362883583017, -5.590483355, 73, 418.8071164169999, 0.8356164383561644, '80, 24, 2.0, 8, 2.0')
('HPQ', 15429.836728514008, -27.099174536, 33, 820.0632714860002, 0.9090909090909091, '40, 40, 2.0, 8, 5.0')
('TPR', 15352.977864836994, -19.355348250000002, 64, 1283.6021351630004, 0.765625, '60, 24, 2.0, 8, 4.0')
('SIVB', 15335.965278639007, -3.5563949900000003, 63, 230.96472136100007, 0.746031746031746, '80, 10, 2.0, 12, 4.0')
('TPR', 15291.258436576994, -19.355348250000002, 66, 1327.8915634230002, 0.7878787878787878, '60, 24, 2.0, 8, 3.0')
('HAL', 15210.370556957017, -35.03997882, 119, 3263.5094430429995, 0.7310924369747899, '60, 10, 2.0, 8, 5.0')
('PHM', 15201.21512850799, -277.6685003060004, 63, 1002.3948714920001, 0.8253968253968254, '40, 24, 2.0, 8, 4.0')
('PHM', 15140.583910103003, -426.61528828299964, 89, 1436.7260898969994, 0.7528089887640449, '40, 16, 2.0, 8, 5.0')
('RL', 15135.577529109996, -7.59578814, 39, 301.8224708899998, 0.8717948717948718, '60, 40, 2.0, 8, 4.0')
('ILMN', 15107.418715701993, -245.06009367300072, 61, 276.23128429799993, 0.7049180327868853, '40, 24, 2.0, 8, 5.0')
('URI', 15098.610643520005, -4.210843857, 45, 188.06935648000004, 0.8444444444444444, '80, 40, 2.0, 8, 5.0')
('PHM', 15083.767130256985, -277.6655152910004, 62, 987.4528697430002, 0.8064516129032258, '40, 24, 2.0, 8, 5.0')
('CZR', 15075.688710705006, -9.240242647999999, 53, 675.1312892949999, 0.7169811320754716, '60, 16, 2.0, 12, 5.0')
('TPR', 15060.072404048997, -19.355348250000002, 64, 1292.337595951, 0.765625, '80, 24, 2.0, 8, 3.0')
('ZION', 15034.564041238975, -13.798388432, 91, 1253.4059587610006, 0.6923076923076923, '80, 16, 2.0, 8, 4.0')
('SIVB', 15003.862248854004, -3.54733346, 75, 276.29775114600005, 0.72, '30, 10, 2.0, 12, 5.0')
('DHI', 14977.431294424008, -10.508752858, 89, 852.2087055759999, 0.7528089887640449, '80, 16, 2.0, 8, 4.0')
('TPR', 14955.605402865996, -19.358637606000002, 63, 1263.874597134, 0.746031746031746, '60, 24, 2.0, 8, 5.0')
