('WBD', 43672.168291666974, -576.0607070679996, 165, 4733.711708333001, 0.7333333333333333, '20, 10, 2.0, 12')
('WBD', 43031.19769632499, -576.0607070679996, 157, 4582.302303675001, 0.732484076433121, '20, 10, 3.0, 12')
('WBD', 40844.374264589984, -12.900027, 164, 4544.445735410001, 0.7682926829268293, '30, 10, 2.0, 12')
('WBD', 40274.88858592195, -1023.1638732689978, 167, 4768.101414078002, 0.7365269461077845, '20, 10, 1.0, 12')
('WBD', 39672.231067995985, -12.900027, 157, 4414.108932004002, 0.7643312101910829, '30, 10, 3.0, 12')
('CF', 15223.05904382, -16.115211934, 134, 1571.87095618, 0.746268656716418, '80, 10, 3.0, 8')
('DHI', 13287.03965308705, -10.504404606, 144, 1385.2503469129992, 0.7291666666666666, '80, 10, 3.0, 8')
('CF', 12165.160755528, -16.115211934, 137, 1602.099244472001, 0.7518248175182481, '80, 10, 2.0, 8')
('DHI', 12144.427306044056, -10.504404606, 146, 1406.4726939559994, 0.7328767123287672, '80, 10, 2.0, 8')
('SIVB', 12058.618950711994, -500.58283103099654, 75, 275.1910492880002, 0.76, '80, 10, 3.0, 12')
('FANG', 11612.872358288996, -10.13570181, 129, 1005.757641711, 0.751937984496124, '80, 10, 2.0, 8')
('FANG', 11220.510497786008, -10.13570181, 136, 1055.3895022139993, 0.7132352941176471, '60, 10, 2.0, 8')
('FANG', 11020.870697796008, -10.13302251, 133, 1032.9193022039997, 0.6842105263157895, '60, 10, 3.0, 8')
('DHI', 10922.074168993016, -10.504404606, 91, 883.245831007, 0.7472527472527473, '80, 24, 3.0, 8')
('MOH', 10844.71307220799, -29.47995389900008, 148, 650.2369277920004, 0.722972972972973, '60, 10, 3.0, 8')
('CF', 10775.257915066, -798.6482250400074, 122, 1406.022084934, 0.7131147540983607, '40, 16, 3.0, 8')
('CF', 10744.945987225003, -176.32336985200232, 139, 1600.4740127749992, 0.7194244604316546, '60, 10, 3.0, 8')
('CF', 10712.387088659003, -16.115211934, 107, 1255.3629113409995, 0.7476635514018691, '80, 16, 3.0, 8')
('SIVB', 10661.795749565004, -297.8578625829989, 77, 283.9442504350001, 0.7792207792207793, '80, 10, 2.0, 12')
('FANG', 10594.737909932004, -10.13302251, 125, 976.9620900680001, 0.736, '80, 10, 3.0, 8')
('MOH', 10515.472505203987, -29.47995389900008, 148, 650.2374947960005, 0.722972972972973, '60, 10, 2.0, 8')
('SIVB', 10489.210707678996, -352.39529732499864, 82, 300.9492923210002, 0.7682926829268293, '60, 10, 3.0, 12')
('DHI', 10484.13040933502, -10.504404606, 92, 892.5195906649998, 0.75, '80, 24, 2.0, 8')
('EOG', 10249.766719970008, -11.394947520000002, 142, 1212.383280030001, 0.704225352112676, '40, 10, 3.0, 8')
('SIVB', 10213.002178247993, -216.16493874699913, 61, 227.32782175200003, 0.7377049180327869, '80, 16, 3.0, 12')
('VMC', 9878.086357831009, -1216.38628118899, 140, 802.8736421690003, 0.6928571428571428, '80, 10, 2.0, 8')
('DHI', 9865.801545283039, -10.504404606, 144, 1374.7784547170002, 0.6944444444444444, '60, 10, 3.0, 8')
('DPZ', 9718.44586124, -702.2153800439978, 102, 388.22413876, 0.7352941176470589, '80, 24, 3.0, 8')
('MOH', 9710.391977353005, -154.36829296200025, 159, 696.8780226470003, 0.7169811320754716, '40, 10, 3.0, 8')
('SIVB', 9586.429399703007, -67.87846735099858, 84, 309.7106002970001, 0.7857142857142857, '60, 10, 2.0, 12')
('VMC', 9575.318194568015, -1216.38628118899, 138, 790.9118054320002, 0.6811594202898551, '80, 10, 3.0, 8')
('MOH', 9533.953721417, -154.36829296200025, 159, 696.8762785830003, 0.7169811320754716, '40, 10, 2.0, 8')
('VMC', 9473.576868119006, -1051.3975816219947, 119, 680.1431318809999, 0.680672268907563, '80, 16, 3.0, 8')
('FANG', 9397.876307167007, -11.057110947, 163, 1268.3036928329998, 0.7177914110429447, '20, 10, 3.0, 8')
('SEDG', 9367.577384426006, -4.832877092, 55, 247.692615574, 0.7636363636363637, '60, 24, 3.0, 12')
('EOG', 9366.19939420401, -11.394947520000002, 142, 1212.370605796001, 0.704225352112676, '40, 10, 2.0, 8')
('MOH', 9192.938196414012, -154.36829296200025, 162, 710.0518035860001, 0.7407407407407407, '40, 10, 1.0, 8')
('WHR', 9177.476623141009, -5.592857627000001, 95, 539.503376859, 0.6842105263157895, '80, 24, 3.0, 8')
('L', 9163.135045951012, -15.367356160000002, 131, 1770.174954048999, 0.7938931297709924, '80, 10, 3.0, 8')
('META', 9084.39445760598, -4.412900048, 58, 304.46554239400007, 0.7758620689655172, '80, 16, 2.0, 12')
('VMC', 9037.949535868003, -1131.4757477899946, 121, 692.120464132, 0.6942148760330579, '80, 16, 2.0, 8')
('L', 8991.41897833901, -15.367356160000002, 131, 1770.171021660999, 0.7938931297709924, '80, 10, 2.0, 8')
('ALK', 8980.670564010969, -12.055426291, 172, 2550.8894359889996, 0.7906976744186046, '40, 10, 1.0, 8')
('DPZ', 8887.35987139001, -1802.7056584229963, 139, 529.2201286100002, 0.6834532374100719, '80, 10, 2.0, 8')
('DPZ', 8881.408793045994, -296.41398788899977, 103, 392.401206954, 0.7378640776699029, '80, 24, 2.0, 8')
('WHR', 8881.145634584016, -5.590483355, 96, 544.7243654159998, 0.6875, '80, 24, 2.0, 8')
('LEN', 8763.814874137988, -10.033986368, 98, 880.6451258620001, 0.7244897959183674, '80, 24, 3.0, 8')
