('WBD', 44042.86711517799, -2507.2984756619976, 258, 8950.35288482199, 0.7984496124031008, '80, 10, 2.0, 4')
('WBD', 43672.168291666974, -576.0607070679996, 165, 4733.711708333001, 0.7333333333333333, '20, 10, 2.0, 12')
('WBD', 43578.04935789201, -576.0597177879996, 157, 4582.360642108, 0.732484076433121, '20, 10, 4.0, 12')
('WBD', 43031.19769632499, -576.0607070679996, 157, 4582.302303675001, 0.732484076433121, '20, 10, 3.0, 12')
('WBD', 40864.988481706954, -1546.3637359949955, 316, 11501.001518292991, 0.7310126582278481, '30, 10, 1.0, 4')
('CF', 19460.601421606996, -17.240840736000003, 125, 1454.7685783929992, 0.784, '120, 10, 3.0, 8')
('CF', 19324.42888667501, -16.883841443, 227, 2588.4011133250046, 0.8061674008810573, '120, 10, 2.0, 4')
('CF', 18985.977137558002, -17.243072112, 122, 1419.5628624419994, 0.7786885245901639, '120, 10, 4.0, 8')
('CF', 18300.447242641992, -17.2374552, 134, 1560.1527573579992, 0.7985074626865671, '120, 10, 2.0, 8')
('CF', 18220.833635456012, -16.883841443, 214, 2456.2163645440037, 0.7897196261682243, '120, 10, 3.0, 4')
('SIVB', 17629.838399741995, -217.36732574300026, 201, 745.6416002580006, 0.7064676616915423, '120, 10, 3.0, 4')
('SEDG', 17520.045750872996, -4.76743508, 124, 559.9942491269996, 0.8709677419354839, '120, 80, 1.0, 4')
('SIVB', 17222.10456428901, -417.0787467290008, 179, 661.1054357110003, 0.6927374301675978, '150, 10, 4.0, 4')
('SIVB', 17176.807840601, -196.4380670679992, 196, 726.1521593990008, 0.6989795918367347, '120, 10, 4.0, 4')
('SIVB', 17158.964423031004, -561.8752147929981, 211, 785.3555769690005, 0.7203791469194313, '120, 10, 2.0, 4')
('SIVB', 16944.491460961, -941.5633239810021, 182, 673.8385390390002, 0.6978021978021978, '150, 10, 3.0, 4')
('SEDG', 16903.406647250995, -4.785579091, 66, 296.583352749, 0.8636363636363636, '120, 60, 2.0, 8')
('OXY', 16169.187487033027, -26.697187968, 152, 2992.662512967002, 0.75, '120, 24, 4.0, 4')
('SEDG', 16132.166485542988, -701.2137734430014, 84, 377.0835144569997, 0.7738095238095238, '120, 40, 4.0, 8')
('PAYC', 15875.652491468, -3.848726752, 105, 424.05750853200004, 0.8571428571428571, '150, 80, 3.0, 4')
('CBOE', 15724.752647655003, -8.553565695, 275, 2035.5773523450011, 0.7709090909090909, '80, 10, 1.0, 4')
('SEDG', 15718.616013389961, -4.76743508, 175, 789.1239866099997, 0.88, '120, 60, 0.5, 4')
('SEDG', 15709.859457596991, -4.76743508, 138, 623.6605424029993, 0.8840579710144928, '120, 80, 0.5, 4')
('ILMN', 15692.101215048997, -3.8708733420000003, 136, 596.7587849509996, 0.7279411764705882, '120, 40, 3.0, 4')
('WYNN', 15690.227681743028, -6.494757696000001, 109, 1067.8823182569995, 0.8348623853211009, '150, 80, 2.0, 4')
('CBOE', 15544.289112390008, -8.058112775, 225, 1661.94088761, 0.7866666666666666, '120, 10, 2.0, 4')
('CBOE', 15440.409036784007, -8.058112775, 224, 1654.9609632159998, 0.7901785714285714, '120, 10, 3.0, 4')
('CBOE', 15440.409036784007, -8.058112775, 224, 1654.9609632159998, 0.7901785714285714, '120, 10, 4.0, 4')
('CBOE', 15412.942568026001, -8.553565695, 260, 1922.247431974001, 0.75, '80, 10, 2.0, 4')
('ILMN', 15331.559709583997, -3.866304792, 133, 582.4102904159996, 0.7218045112781954, '120, 40, 4.0, 4')
('EOG', 15215.413586800025, -11.498537952000001, 293, 2486.8864132000003, 0.7235494880546075, '40, 10, 3.0, 4')
('PAYC', 15198.612355033, -48.43152932300295, 100, 403.27764496699996, 0.85, '150, 80, 4.0, 4')
('EOG', 15008.851194831032, -11.498537952000001, 292, 2479.2188051690005, 0.7226027397260274, '40, 10, 4.0, 4')
('WHR', 14868.485313279994, -990.7303598600006, 105, 596.0646867200002, 0.8380952380952381, '150, 16, 2.0, 8')
('WHR', 14723.311736517986, -5.255092265, 123, 697.598263482, 0.8780487804878049, '150, 16, 1.0, 8')
('WHR', 14711.611526373996, -209.5702335369976, 87, 494.03847362600015, 0.8620689655172413, '120, 24, 3.0, 8')
('FANG', 14689.787344076007, -9.288809192, 199, 1587.0226559239989, 0.7638190954773869, '120, 10, 3.0, 4')
('WHR', 14633.457847798001, -324.36320747199545, 90, 512.0921522020001, 0.8666666666666667, '120, 24, 2.0, 8')
('WHR', 14545.790386805991, -209.5710847299976, 86, 487.0896131940001, 0.8604651162790697, '120, 24, 4.0, 8')
('FANG', 14520.60242263, -9.288809192, 194, 1545.5475773699984, 0.7577319587628866, '120, 10, 4.0, 4')
('OXY', 14451.746397361036, -26.690588188, 153, 3022.3836026390027, 0.7516339869281046, '120, 24, 3.0, 4')
('EOG', 14431.562711190027, -11.498537952000001, 296, 2513.95728881, 0.722972972972973, '40, 10, 2.0, 4')
('OXY', 14383.614334291047, -26.544341472, 174, 3408.8356657090017, 0.7528735632183908, '150, 16, 3.0, 4')
('WYNN', 14332.771782646012, -6.487136576, 94, 911.8482173539995, 0.7978723404255319, '150, 80, 4.0, 4')
('FANG', 14253.734112043981, -792.3339231879999, 99, 775.5258879559997, 0.7171717171717171, '150, 10, 4.0, 8')
('PAYC', 14195.092681203994, -179.48179704400292, 110, 445.09731879599985, 0.8636363636363636, '150, 80, 2.0, 4')
('ILMN', 14049.105073371025, -3.863607172, 285, 1266.1449266290003, 0.856140350877193, '150, 10, 0.5, 4')
