('WBD', 38606.36655251499, -713.9317266830001, 141, 3809.173447485, 0.8297872340425532, '60, 10, 2.0, 12, 2.0')
('WBD', 37934.14665530199, -12.900027, 139, 3998.623344698, 0.7553956834532374, '30, 10, 2.0, 12, 5.0')
('WBD', 37814.50544009499, -12.900027, 145, 4110.464559905001, 0.7517241379310344, '30, 10, 2.0, 12, 2.0')
('WBD', 37805.494547928996, -12.900027, 140, 4010.285452071001, 0.75, '30, 10, 2.0, 12, 4.0')
('WBD', 37508.154132503005, -12.900027, 141, 4027.465867497001, 0.7446808510638298, '30, 10, 2.0, 12, 3.0')
('CF', 14341.730954852002, -16.115211934, 128, 1491.489045148, 0.7421875, '80, 10, 2.0, 8, 3.0')
('CF', 14053.099470785995, -16.115211934, 125, 1456.2805292139994, 0.736, '80, 10, 2.0, 8, 4.0')
('CF', 14016.220315337994, -16.115211934, 125, 1456.2796846619997, 0.736, '80, 10, 2.0, 8, 5.0')
('CF', 12812.835466572013, -16.320501258, 136, 1560.8745334279995, 0.7426470588235294, '60, 10, 2.0, 8, 3.0')
('CF', 12593.982193426005, -16.320501258, 134, 1534.5878065739996, 0.7388059701492538, '60, 10, 2.0, 8, 4.0')
('NFLX', 12488.748990616992, -13.726678942000255, 164, 672.9910093829994, 0.7012195121951219, '40, 10, 2.0, 8, 2.0')
('DHI', 11571.79509932605, -10.504404606, 141, 1344.884900674, 0.7021276595744681, '60, 10, 2.0, 8, 5.0')
('DHI', 11369.091330094045, -10.504404606, 135, 1291.6786699059992, 0.7185185185185186, '80, 10, 2.0, 8, 3.0')
('DHI', 11352.427743025048, -10.504404606, 134, 1280.9322569749993, 0.7164179104477612, '80, 10, 2.0, 8, 5.0')
('SEDG', 11290.369414009005, -4.834978396, 53, 238.58058599100008, 0.7735849056603774, '60, 24, 2.0, 12, 5.0')
('DHI', 11225.89550369602, -10.504404606, 112, 1078.364496304, 0.7589285714285714, '80, 16, 2.0, 8, 3.0')
('DHI', 11209.231916627026, -10.504404606, 111, 1067.618083373, 0.7567567567567568, '80, 16, 2.0, 8, 5.0')
('VMC', 11121.58005657501, -163.00073712698983, 139, 797.0399434250002, 0.7050359712230215, '80, 10, 2.0, 8, 2.0')
('LYV', 11116.441532684003, -9.192000251, 107, 969.2584673159997, 0.7663551401869159, '60, 16, 2.0, 8, 5.0')
('SIVB', 10994.09635405, -880.1572273869949, 67, 247.76364595000004, 0.7313432835820896, '80, 10, 2.0, 12, 4.0')
('NFLX', 10858.71394161399, -965.7349777500091, 162, 664.4560583859993, 0.691358024691358, '40, 10, 2.0, 8, 3.0')
('VMC', 10841.142404669015, -163.00073712698983, 137, 785.077595331, 0.6934306569343066, '80, 10, 2.0, 8, 3.0')
('VMC', 10807.852622247017, -163.00073712698983, 137, 785.087377753, 0.6934306569343066, '80, 10, 2.0, 8, 4.0')
('VMC', 10785.633131085018, -163.00073712698983, 137, 785.086868915, 0.6934306569343066, '80, 10, 2.0, 8, 5.0')
('SEDG', 10752.755758024006, -4.837278472, 53, 238.58424197600004, 0.7735849056603774, '60, 24, 2.0, 12, 4.0')
('LYV', 10745.990016218002, -9.192000251, 107, 969.2499837819994, 0.7663551401869159, '60, 16, 2.0, 8, 4.0')
('LYV', 10671.458132235004, -9.192000251, 107, 969.2518677649996, 0.7663551401869159, '60, 16, 2.0, 8, 3.0')
('NFLX', 10664.622639547986, -965.7349777500091, 162, 664.4673604519994, 0.691358024691358, '40, 10, 2.0, 8, 4.0')
('FANG', 10571.815687976015, -10.13570181, 131, 1017.4343120239997, 0.7099236641221374, '60, 10, 2.0, 8, 2.0')
('MOH', 10360.617865411989, -29.47995389900008, 141, 618.4221345880002, 0.7163120567375887, '60, 10, 2.0, 8, 4.0')
('MOH', 10360.617865411989, -29.47995389900008, 141, 618.4221345880002, 0.7163120567375887, '60, 10, 2.0, 8, 5.0')
('NFLX', 10218.202862794988, -965.7349777500091, 162, 664.4571372049995, 0.691358024691358, '40, 10, 2.0, 8, 5.0')
('SEDG', 10168.980934797999, -4.832877092, 53, 238.57906520200004, 0.7735849056603774, '60, 24, 2.0, 12, 3.0')
('MRNA', 10144.391070350992, -1573.2228599030038, 100, 563.7889296490004, 0.74, '80, 24, 2.0, 8, 5.0')
('SIVB', 10096.362536334998, -802.6690019079948, 67, 247.74746366500008, 0.7313432835820896, '80, 10, 2.0, 12, 3.0')
('MOH', 9945.341897643992, -29.47995389900008, 141, 618.4181023560002, 0.7163120567375887, '60, 10, 2.0, 8, 3.0')
('EOG', 9876.617789398002, -11.394947520000002, 132, 1131.7922106020005, 0.6893939393939394, '40, 10, 2.0, 8, 5.0')
('FANG', 9781.173643071015, -10.13302251, 128, 994.9563569289998, 0.6796875, '60, 10, 2.0, 8, 3.0')
('EOG', 9766.525268337002, -11.394947520000002, 132, 1131.7947316630004, 0.6893939393939394, '40, 10, 2.0, 8, 4.0')
('MOH', 9743.334374736989, -29.47995389900008, 141, 618.4156252630003, 0.7163120567375887, '60, 10, 2.0, 8, 2.0')
('LYV', 9726.884641990002, -9.192000251, 107, 969.2353580099996, 0.7663551401869159, '60, 16, 2.0, 8, 2.0')
('FANG', 9726.348227567983, -10.958168527999998, 135, 1055.831772431999, 0.674074074074074, '40, 10, 2.0, 8, 3.0')
('SIVB', 9675.64663797999, -499.84504845300233, 75, 275.1333620200001, 0.76, '60, 10, 2.0, 12, 5.0')
('EOG', 9662.787643983007, -11.394947520000002, 132, 1131.7923560170004, 0.6893939393939394, '40, 10, 2.0, 8, 3.0')
