: Profit: 28653.186932466993, Ticker: None, Trades: (63, 33, 30), Drawdown: -982.0055043629997, Stops: 36, Costs: 348.04306753299994 60, 60, 0.2, 3.0, 8, 15, 12, 0.3, False
: Profit: 28460.950372844993, Ticker: None, Trades: (67, 30, 37), Drawdown: -4.746441622, Stops: 37, Costs: 368.289627155 80, 60, 0.3, 3.0, 8, 10, 12, -0.1, False
: Profit: 28382.203183029997, Ticker: None, Trades: (64, 30, 34), Drawdown: -4.746441622, Stops: 36, Costs: 359.82681697 40, 80, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 28304.076522740997, Ticker: None, Trades: (65, 33, 32), Drawdown: -982.0055043629997, Stops: 37, Costs: 360.043477259 60, 60, 0.3, 3.0, 8, 15, 12, 0.3, False
: Profit: 28217.44643863, Ticker: None, Trades: (67, 35, 32), Drawdown: -982.0055043629997, Stops: 37, Costs: 364.1135613699999 60, 60, 0.2, 3.0, 8, 15, 12, 0.1, False
: Profit: 28122.64874111499, Ticker: None, Trades: (72, 36, 36), Drawdown: -4.746441622, Stops: 38, Costs: 393.59125888499983 40, 80, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 28110.640017333993, Ticker: None, Trades: (64, 33, 31), Drawdown: -982.0055043629997, Stops: 37, Costs: 353.789982666 60, 60, 0.2, 3.0, 8, 10, 12, 0.3, False
: Profit: 28005.879337480004, Ticker: None, Trades: (74, 39, 35), Drawdown: -1410.7782970730009, Stops: 40, Costs: 399.02066251999986 80, 80, 0.3, 3.0, 8, 15, 12, -0.1, False
: Profit: 27980.482008765004, Ticker: None, Trades: (74, 39, 35), Drawdown: -1410.7782970730009, Stops: 40, Costs: 398.99799123499986 80, 80, 0.3, 3.0, 8, 10, 12, -0.1, False
: Profit: 27963.228158960992, Ticker: None, Trades: (71, 37, 34), Drawdown: -1108.4845350060002, Stops: 38, Costs: 385.53184103899986 80, 40, 0.3, 3.0, 8, 15, 12, 0.1, False
: Profit: 27934.836015561992, Ticker: None, Trades: (65, 32, 33), Drawdown: -4.746441622, Stops: 37, Costs: 357.66398443799994 80, 60, 0.2, 3.0, 8, 15, 12, 0.3, False
: Profit: 27885.885269989, Ticker: None, Trades: (52, 25, 27), Drawdown: -1738.9525135469999, Stops: 32, Costs: 292.1847300109999 60, 100, 0.3, 3.0, 8, 15, 12, 0.3, False
: Profit: 27868.336028904003, Ticker: None, Trades: (69, 35, 34), Drawdown: -982.0055043629997, Stops: 38, Costs: 376.1139710959999 60, 60, 0.3, 3.0, 8, 15, 12, 0.1, False
: Profit: 27842.829943217996, Ticker: None, Trades: (60, 29, 31), Drawdown: -982.0084330439996, Stops: 35, Costs: 326.65005678199987 40, 100, 0.2, 3.0, 8, 15, 12, 0.3, False
: Profit: 27761.529607607998, Ticker: None, Trades: (66, 33, 33), Drawdown: -982.0055043629997, Stops: 38, Costs: 365.79039239199994 60, 60, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 27674.899523497, Ticker: None, Trades: (68, 35, 33), Drawdown: -982.0055043629997, Stops: 38, Costs: 369.8604765029999 60, 60, 0.2, 3.0, 8, 10, 12, 0.1, False
