: Profit: 24210.995316643, Ticker: None, Trades: (29, 17, 12), Drawdown: -1997.2511805819997, Stops: 20, Costs: 117.014683357 40, 60, 0.3, 3.0, 12, 10, 12, -1, True
: Profit: 24148.652543153, Ticker: None, Trades: (56, 21, 35), Drawdown: -704.0028856939981, Stops: 47, Costs: 224.497456847 20, 5, 0.2, 2.0, 4, 5, 12, -1, True
: Profit: 24148.652543153, Ticker: None, Trades: (56, 21, 35), Drawdown: -704.0028856939981, Stops: 47, Costs: 224.497456847 20, 5, 0.2, 2.0, 4, 5, 12, -1, True
: Profit: 24148.652543153, Ticker: None, Trades: (56, 21, 35), Drawdown: -704.0028856939981, Stops: 47, Costs: 224.497456847 20, 5, 0.2, 2.0, 4, 5, 12, -1, True
: Profit: 24148.652543153, Ticker: None, Trades: (56, 21, 35), Drawdown: -704.0028856939981, Stops: 47, Costs: 224.497456847 20, 5, 0.3, 2.0, 4, 5, 12, -1, True
: Profit: 24148.652543153, Ticker: None, Trades: (56, 21, 35), Drawdown: -704.0028856939981, Stops: 47, Costs: 224.497456847 20, 5, 0.3, 2.0, 4, 5, 12, -1, True
: Profit: 24148.652543153, Ticker: None, Trades: (56, 21, 35), Drawdown: -704.0028856939981, Stops: 47, Costs: 224.497456847 20, 5, 0.3, 2.0, 4, 5, 12, -1, True
: Profit: 23879.87600014599, Ticker: None, Trades: (40, 23, 17), Drawdown: -1617.1825486479997, Stops: 31, Costs: 154.993999854 40, 80, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23879.87600014599, Ticker: None, Trades: (40, 23, 17), Drawdown: -1617.1825486479997, Stops: 31, Costs: 154.993999854 40, 80, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23879.87600014599, Ticker: None, Trades: (40, 23, 17), Drawdown: -1617.1825486479997, Stops: 31, Costs: 154.993999854 40, 80, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23704.34226126199, Ticker: None, Trades: (44, 27, 17), Drawdown: -1617.1825486479997, Stops: 33, Costs: 171.907738738 60, 60, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23704.34226126199, Ticker: None, Trades: (44, 27, 17), Drawdown: -1617.1825486479997, Stops: 33, Costs: 171.907738738 60, 60, 0.2, 2.0, 12, 25, 12, -1, True
: Profit: 23704.34226126199, Ticker: None, Trades: (44, 27, 17), Drawdown: -1617.1825486479997, Stops: 33, Costs: 171.907738738 60, 60, 0.2, 2.0, 12, 25, 12, -1, True
