["('ETSY',", '2132.8777889390017,', '-521.8633825569991,', '14,', '80.24221106099999,', '0.5714285714285714,', "'40,", '24,', '0.2,', '1.0,', '8,', '8,', "0.3')\n"]
["('CDNS',", '2122.241964009008,', '-6.54312215,', '42,', '267.068035991,', '0.7380952380952381,', "'20,", '16,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('ETSY',", '2106.477184379003,', '-548.2639871169977,', '14,', '80.24281562099999,', '0.5714285714285714,', "'40,", '24,', '0.2,', '1.0,', '8,', '8,', "0.2')\n"]
["('BAX',", '2101.9371119730126,', '-269.3604980499995,', '73,', '834.1928880269998,', '0.6438356164383562,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('EL',", '2089.3799779750075,', '-63.884661949002485,', '80,', '362.06002202499997,', '0.625,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.3')\n"]
["('CDNS',", '2057.718543739015,', '-7.019654860999999,', '56,', '351.801456261,', '0.7142857142857143,', "'40,", '10,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('TSLA',", '2057.418331021581,', '-4.894787008,', '40,', '195.26256897841,', '0.85,', "'30,", '16,', '0.2,', '1.0,', '4,', '5,', "0.2')\n"]
["('PXD',", '2036.6933140100018,', '-6.0656716070000005,', '56,', '297.6266859900001,', '0.6964285714285714,', "'40,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('QCOM',", '1989.8235637899984,', '-118.37825765999942,', '48,', '318.54643620999997,', '0.6666666666666666,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('TSLA',", '1985.4187999097599,', '-4.894787008,', '29,', '144.30630009023002,', '0.9310344827586207,', "'30,", '16,', '0.3,', '1.0,', '4,', '5,', "0.2')\n"]
["('MRK',", '1974.3273374785051,', '-395.95137963148824,', '61,', '577.5089625214897,', '0.639344262295082,', "'40,", '16,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('CDNS',", '1972.108814109012,', '-7.019654860999999,', '49,', '309.20118589099997,', '0.6938775510204082,', "'30,", '10,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('ADSK',", '1959.7559022629982,', '-80.79994745099937,', '65,', '321.32409773699993,', '0.6615384615384615,', "'40,", '16,', '0.3,', '1.0,', '4,', '5,', "0.5')\n"]
["('TSLA',", '1941.9168643429107,', '-4.894787008,', '29,', '144.31093565708002,', '0.896551724137931,', "'30,", '16,', '0.3,', '1.0,', '4,', '5,', "0.3')\n"]
["('TSLA',", '1933.993180822223,', '-4.894787008,', '32,', '158.16931917777003,', '0.90625,', "'20,", '16,', '0.2,', '1.0,', '4,', '5,', "0.2')\n"]
["('TSLA',", '1918.4162521221986,', '-4.894787008,', '49,', '237.56234787780002,', '0.7959183673469388,', "'40,", '16,', '0.2,', '1.0,', '4,', '5,', "0.2')\n"]
["('EPAM',", '1916.343436209006,', '-3.973985508,', '55,', '212.42656379100004,', '0.6545454545454545,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('QCOM',", '1915.629336990997,', '-152.2013583200008,', '32,', '209.82066300900004,', '0.78125,', "'20,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('PXD',", '1899.115163005002,', '-6.0656716070000005,', '51,', '271.6448369950001,', '0.7058823529411765,', "'40,", '24,', '0.4,', '1.0,', '4,', '8,', "0.5')\n"]
["('NVR',", '1878.428316887,', '-200.13775229899693,', '43,', '103.37168311300009,', '0.7441860465116279,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('NVR',", '1875.830791869002,', '-57.506215172997265,', '38,', '91.35920813100006,', '0.7368421052631579,', "'20,", '16,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('SWKS',", '1860.327051016,', '-313.56460829599877,', '58,', '403.06294898399995,', '0.6379310344827587,', "'40,", '16,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('TECH',", '1857.1170058627586,', '-8.9848154905,', '74,', '617.6279941372499,', '0.7027027027027027,', "'40,", '24,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('EPAM',", '1855.9625354910129,', '-83.73790321699991,', '62,', '235.57746450899995,', '0.6290322580645161,', "'40,", '16,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('PXD',", '1845.7306238619985,', '-6.0656716070000005,', '60,', '321.06937613800005,', '0.6833333333333333,', "'40,", '16,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('EPAM',", '1838.9848260210129,', '-3.973985508,', '64,', '245.055173979,', '0.59375,', "'30,", '16,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('NVR',", '1838.9638797660011,', '-290.7768090799955,', '54,', '129.4761202340001,', '0.6851851851851852,', "'40,", '16,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('ORLY',", '1828.0068187779996,', '-189.5309350920005,', '55,', '177.50318122200008,', '0.6363636363636364,', "'40,", '24,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('MRK',", '1823.78599830582,', '-301.16030818217615,', '56,', '530.6063016941799,', '0.6071428571428571,', "'30,", '24,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('ANET',", '1822.1137610147487,', '-173.53521432325,', '65,', '520.7887389852503,', '0.7230769230769231,', "'40,", '24,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('EPAM',", '1820.6913931230094,', '-3.973985508,', '58,', '223.308606877,', '0.603448275862069,', "'20,", '24,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('BIO',", '1818.3713490239913,', '-3.379181518,', '96,', '324.3786509760001,', '0.6666666666666666,', "'40,", '24,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('GNRC',", '1815.7360260169926,', '-93.15616713200295,', '58,', '285.0639739830001,', '0.7586206896551724,', "'30,", '24,', '0.3,', '1.0,', '4,', '8,', "0.2')\n"]
["('BIO',", '1804.5987085169902,', '-3.382366908,', '63,', '211.13129148299984,', '0.6984126984126984,', "'30,", '16,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('GNRC',", '1803.7754994019924,', '-93.15616713200295,', '54,', '266.064500598,', '0.7592592592592593,', "'30,", '24,', '0.4,', '1.0,', '4,', '8,', "0.2')\n"]
["('LOW',", '1795.1621305880046,', '-14.603279894999323,', '47,', '245.097869412,', '0.6595744680851063,', "'20,", '24,', '0.3,', '1.0,', '4,', '5,', "0.5')\n"]
["('NVR',", '1793.5089700080043,', '-331.1991048909929,', '60,', '143.9210299920001,', '0.6833333333333333,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('MRK',", '1785.8272925644535,', '-408.5443002385387,', '66,', '627.2915074355398,', '0.6212121212121212,', "'40,", '16,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('QCOM',", '1779.6148516419964,', '-70.54867237899988,', '46,', '301.3951483579999,', '0.8043478260869565,', "'20,", '24,', '0.3,', '1.0,', '4,', '5,', "0.3')\n"]
["('PXD',", '1777.453138268996,', '-20.560653268001165,', '66,', '351.3468617310002,', '0.6666666666666666,', "'40,", '24,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('TFX',", '1776.9697111850064,', '-3.773576972,', '87,', '373.99028881500004,', '0.735632183908046,', "'40,", '24,', '0.2,', '1.0,', '4,', '5,', "0.3')\n"]
["('ORLY',", '1776.7370266060002,', '-189.5309350920005,', '49,', '158.46297339400004,', '0.6530612244897959,', "'40,", '24,', '0.4,', '1.0,', '4,', '8,', "0.5')\n"]
["('WST',", '1774.4069689379987,', '-53.051469878998965,', '40,', '163.57303106199998,', '0.675,', "'40,", '8,', '0.3,', '1.0,', '4,', '5,', "0.5')\n"]
["('WST',", '1774.4069689379987,', '-53.051469878998965,', '40,', '163.57303106199998,', '0.675,', "'40,", '8,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('SWKS',", '1766.5902137340133,', '-501.38377466399817,', '62,', '440.209786266,', '0.6290322580645161,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('LOW',", '1766.3588645900022,', '-14.603279894999323,', '47,', '245.10113540999998,', '0.723404255319149,', "'20,", '24,', '0.3,', '1.0,', '4,', '5,', "0.3')\n"]
["('EPAM',", '1764.3250393610099,', '-3.973985508,', '60,', '231.47496063900002,', '0.6166666666666667,', "'30,", '24,', '0.3,', '1.0,', '4,', '5,', "0.5')\n"]
["('GNRC',", '1762.4673926399928,', '-152.07406625000283,', '63,', '308.24260736000014,', '0.746031746031746,', "'30,", '24,', '0.2,', '1.0,', '4,', '8,', "0.2')\n"]
["('TECH',", '1749.3765836520088,', '-8.9848154905,', '80,', '668.435916348,', '0.6875,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('ANET',", '1746.96194119375,', '-173.53521432325,', '55,', '441.09055880625027,', '0.7636363636363637,', "'40,", '24,', '0.4,', '1.0,', '4,', '8,', "0.5')\n"]
["('NVR',", '1740.274669297003,', '-2.44554182,', '38,', '91.35533070300008,', '0.7631578947368421,', "'20,", '16,', '0.2,', '1.0,', '4,', '8,', "0.3')\n"]
["('ANET',", '1738.8455170152495,', '-173.53521432325,', '68,', '548.9394829847502,', '0.7205882352941176,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('TFX',", '1735.0002344500022,', '-18.032053134000595,', '87,', '373.98976554999996,', '0.7011494252873564,', "'40,", '24,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('BIO',", '1729.9211867909933,', '-3.382366908,', '64,', '214.70881320899986,', '0.75,', "'30,", '16,', '0.3,', '1.0,', '4,', '8,', "0.3')\n"]
["('WST',", '1725.783440644999,', '-4.617955223000001,', '51,', '209.86655935499996,', '0.7058823529411765,', "'40,", '8,', '0.2,', '1.0,', '4,', '5,', "0.3')\n"]
["('WST',", '1725.783440644999,', '-4.617955223000001,', '51,', '209.86655935499996,', '0.7058823529411765,', "'40,", '10,', '0.3,', '1.0,', '4,', '5,', "0.3')\n"]
["('WST',", '1725.783440644999,', '-4.617955223000001,', '51,', '209.86655935499996,', '0.7058823529411765,', "'40,", '10,', '0.4,', '1.0,', '4,', '5,', "0.3')\n"]
["('BIO',", '1724.541907590994,', '-3.380396134,', '97,', '327.9580924090001,', '0.7010309278350515,', "'40,", '24,', '0.2,', '1.0,', '4,', '5,', "0.3')\n"]
["('GNRC',", '1720.8307665709945,', '-4.297247155,', '50,', '252.44923342899995,', '0.8,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.2')\n"]
["('ADSK',", '1712.2084494299886,', '-80.79856245899937,', '65,', '321.3215505699999,', '0.6923076923076923,', "'40,", '16,', '0.3,', '1.0,', '4,', '5,', "0.3')\n"]
["('ZBH',", '1709.6854337210411,', '-6.184960397119999,', '56,', '394.69156627895006,', '0.6785714285714286,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.3')\n"]
["('ORLY',", '1698.876418839997,', '-189.5309350920005,', '49,', '158.4635811600001,', '0.6938775510204082,', "'40,", '24,', '0.4,', '1.0,', '4,', '8,', "0.3')\n"]
["('ADSK',", '1695.8133937819932,', '-80.79994745099937,', '59,', '291.87660621799995,', '0.6271186440677966,', "'40,", '10,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('ADSK',", '1689.8703644279867,', '-80.79856245899937,', '67,', '334.36963557199994,', '0.7014925373134329,', "'30,", '16,', '0.2,', '1.0,', '4,', '5,', "0.3')\n"]
["('BIO',", '1681.1553254969879,', '-3.382366908,', '55,', '185.3546745029998,', '0.7272727272727273,', "'20,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('ANET',", '1679.7213400692474,', '-173.53521432325,', '63,', '507.9511599307503,', '0.746031746031746,', "'30,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('CEG',", '1674.226373237999,', '-16.872841657000002,', '32,', '383.9136267620002,', '0.625,', "'30,", '24,', '0.4,', '1.0,', '4,', '8,', "0.5')\n"]
["('ORLY',", '1674.1455606519994,', '-189.5309350920005,', '55,', '177.5044393480001,', '0.6727272727272727,', "'40,", '24,', '0.3,', '1.0,', '4,', '8,', "0.3')\n"]
["('LOW',", '1670.4531346809995,', '-5.740676430000001,', '45,', '234.49686531900002,', '0.7333333333333333,', "'20,", '24,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('ORLY',", '1668.9391132180026,', '-189.5309350920005,', '55,', '177.29088678200011,', '0.6363636363636364,', "'40,", '16,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('CEG',", '1664.06324492,', '-16.872841657000002,', '34,', '405.87675508000024,', '0.6176470588235294,', "'30,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('MRK',", '1649.4081522633442,', '-284.5228289736536,', '61,', '576.5681477366599,', '0.6065573770491803,', "'30,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('PXD',", '1648.2240291619946,', '-6.0656716070000005,', '50,', '268.135970838,', '0.7,', "'30,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('IQV',", '1637.7820017669947,', '-58.800677274000094,', '85,', '425.337998233,', '0.5647058823529412,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('GWW',", '1627.9406929440008,', '-187.11842249999728,', '82,', '289.7993070559999,', '0.7682926829268293,', "'30,", '16,', '0.2,', '1.0,', '4,', '8,', "0.2')\n"]
["('GWW',", '1615.0488281220019,', '-181.2516186459989,', '72,', '254.06117187800007,', '0.7638888888888888,', "'20,", '16,', '0.2,', '1.0,', '4,', '8,', "0.2')\n"]
["('CEG',", '1613.6313232389946,', '-16.872841657000002,', '31,', '368.34867676100015,', '0.6129032258064516,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('MOH',", '1613.431378477009,', '-573.0817659850001,', '91,', '401.19862152300004,', '0.6263736263736264,', "'40,", '24,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('BBY',", '1611.242597714008,', '-36.160578281996465,', '28,', '250.28740228600003,', '0.7142857142857143,', "'20,", '16,', '0.4,', '1.0,', '4,', '8,', "0.5')\n"]
["('LOW',", '1610.6044099819994,', '-5.740676430000001,', '45,', '234.495590018,', '0.7777777777777778,', "'20,", '24,', '0.3,', '1.0,', '4,', '8,', "0.3')\n"]
["('TFX',", '1609.3081707510073,', '-3.773576972,', '82,', '353.4918292490001,', '0.7439024390243902,', "'40,", '24,', '0.3,', '1.0,', '4,', '5,', "0.3')\n"]
["('ZBH',", '1607.109180027379,', '-6.184960397119999,', '59,', '417.55801997261017,', '0.6440677966101694,', "'20,", '24,', '0.2,', '1.0,', '4,', '5,', "0.3')\n"]
["('NXPI',", '1601.626972750996,', '-148.01144046700122,', '30,', '166.153027249,', '0.7333333333333333,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('SEDG',", '1601.0943416470147,', '-4.582298208,', '75,', '337.9256583529999,', '0.7466666666666667,', "'40,", '16,', '0.3,', '1.0,', '4,', '5,', "0.2')\n"]
["('IQV',", '1598.2259721309974,', '-58.800677274000094,', '72,', '362.144027869,', '0.5833333333333334,', "'40,", '16,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('CVX',", '1597.7135278710093,', '-137.67818284200234,', '57,', '386.386472129,', '0.7719298245614035,', "'40,", '10,', '0.2,', '1.0,', '4,', '5,', "0.3')\n"]
["('ZBH',", '1596.2337051780764,', '-118.8435598294623,', '56,', '394.68899482192006,', '0.6428571428571429,', "'20,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('ON',", '1596.0937603789903,', '-74.87915937400166,', '51,', '787.3462396210001,', '0.7058823529411765,', "'20,", '24,', '0.2,', '1.0,', '4,', '5,', "0.5')\n"]
["('LOW',", '1594.1608908520043,', '-14.603279894999323,', '37,', '192.28910914800002,', '0.7027027027027027,', "'20,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
["('BBY',", '1590.5304222850068,', '-7.342784375,', '58,', '522.189577715,', '0.6551724137931034,', "'30,", '16,', '0.3,', '1.0,', '4,', '8,', "0.5')\n"]
["('PYPL',", '1589.1941889830082,', '-207.51944523100045,', '64,', '500.075811017,', '0.625,', "'40,", '24,', '0.2,', '1.0,', '4,', '8,', "0.5')\n"]
["('DXCM',", '1581.7023039699839,', '-137.66734824375,', '71,', '572.69019603,', '0.6338028169014085,', "'40,", '24,', '0.4,', '1.0,', '4,', '5,', "0.5')\n"]
