('WBD', 13490.001265962987, -1274.143103269003, 207, 4729.348734036997, 0.37681159420289856, '40, 16, 0.2, 1.0, 5, 5, 0.5')
('WBD', 12421.020077569003, -1274.143103269003, 176, 4134.389922430999, 0.4602272727272727, '40, 16, 0.2, 1.0, 5, 8, 0.5')
('WBD', 10152.215777272004, -4358.758035813994, 162, 3197.8942227280018, 0.35185185185185186, '40, 16, 0.2, 1.0, 8, 5, 0.5')
('WBD', 9790.860873134963, -2483.2088767640016, 210, 4895.789126864997, 0.4142857142857143, '40, 16, 0.2, 1.0, 5, 5, 0.2')
('WBD', 9789.791379855013, -4358.758035813994, 163, 3215.268620145001, 0.3558282208588957, '40, 16, 0.2, 1.0, 8, 5, 0.2')
('QCOM', 2880.569669848003, -40.36245114399784, 33, 221.71033015200007, 0.8181818181818182, '30, 10, 0.2, 1.0, 5, 5, 0.5')
('QCOM', 2543.0176742779972, -40.36245114399784, 32, 213.20232572199998, 0.8125, '30, 16, 0.3, 1.0, 5, 5, 0.5')
('QCOM', 2489.1461024860023, -40.36163498799784, 33, 221.71389751400008, 0.8181818181818182, '30, 10, 0.2, 1.0, 5, 5, 0.3')
('QCOM', 2321.898639226993, -40.36245114399784, 36, 245.21136077299997, 0.7777777777777778, '40, 10, 0.2, 1.0, 5, 5, 0.5')
('ADSK', 2312.942913931995, -4.57816888, 50, 250.81708606800004, 0.74, '40, 16, 0.3, 1.0, 5, 5, 0.5')
('BAX', 2310.003922596002, -238.73323269899763, 48, 568.6960774039999, 0.6875, '40, 16, 0.2, 1.0, 5, 8, 0.3')
('IQV', 2296.11963759599, -50.727202436, 57, 286.50036240400004, 0.6666666666666666, '40, 16, 0.2, 1.0, 5, 8, 0.5')
('QCOM', 2288.7180286050047, -6.822836816000001, 33, 221.71197139500003, 0.8484848484848485, '30, 10, 0.2, 1.0, 5, 5, 0.2')
('IQV', 2285.67300053899, -50.727202436, 48, 240.17699946100004, 0.6666666666666666, '40, 16, 0.3, 1.0, 5, 8, 0.5')
('BAX', 2150.556541468003, -215.20437105799843, 48, 568.7034585319998, 0.6458333333333334, '40, 16, 0.2, 1.0, 5, 8, 0.5')
('IQV', 2025.0364771949878, -50.727202436, 57, 286.51352280500004, 0.7192982456140351, '40, 16, 0.2, 1.0, 5, 8, 0.2')
('ADSK', 1991.9886508169948, -4.57816888, 43, 216.67134918300002, 0.6976744186046512, '40, 10, 0.2, 1.0, 5, 5, 0.5')
('IQV', 1967.6485080169848, -50.727202436, 48, 240.1814919830001, 0.6875, '40, 16, 0.3, 1.0, 5, 8, 0.3')
('IQV', 1966.2792977509962, -50.727202436, 40, 201.33070224900007, 0.625, '40, 10, 0.2, 1.0, 5, 8, 0.5')
('ADSK', 1902.0136236029919, -4.579951416, 50, 250.81637639700003, 0.78, '40, 16, 0.3, 1.0, 5, 5, 0.3')
('NVR', 1900.8460095919984, -88.43483914199554, 43, 102.84399040800007, 0.7441860465116279, '40, 16, 0.2, 1.0, 5, 8, 0.5')
('CDAY', 1877.6500478780022, -35.99161294000002, 29, 301.82995212200007, 0.7586206896551724, '40, 10, 0.2, 1.0, 5, 5, 0.3')
('DHI', 1793.9515607739902, -10.195534468, 49, 457.3984392260001, 0.8775510204081632, '40, 16, 0.3, 1.0, 5, 8, 0.2')
('NVR', 1788.3065718560017, -87.56629393599695, 44, 105.23342814400007, 0.7727272727272727, '40, 16, 0.2, 1.0, 5, 8, 0.3')
('PXD', 1784.1741128170006, -6.0656716070000005, 40, 211.92588718300004, 0.675, '40, 16, 0.2, 1.0, 5, 5, 0.5')
('BAX', 1771.5438417870016, -237.85265332899758, 48, 568.7061582129999, 0.7291666666666666, '40, 16, 0.2, 1.0, 5, 8, 0.2')
('ADSK', 1765.262144898991, -4.57816888, 43, 216.627855101, 0.6976744186046512, '40, 16, 0.3, 1.0, 5, 8, 0.5')
('MRNA', 1764.6716689810082, -61.65019791300082, 43, 253.12833101899997, 0.7209302325581395, '40, 16, 0.2, 1.0, 5, 8, 0.5')
('DHI', 1758.695540648988, -10.195534468, 58, 536.6044593510002, 0.8620689655172413, '30, 16, 0.2, 1.0, 5, 8, 0.2')
('BAX', 1757.9832861940038, -238.93397603299763, 43, 510.26671380600004, 0.6744186046511628, '40, 16, 0.3, 1.0, 5, 8, 0.3')
('MRK', 1721.644179253689, -355.18013182030535, 44, 414.1119207463101, 0.6363636363636364, '40, 16, 0.3, 1.0, 5, 8, 0.5')
('BAX', 1709.8432344400042, -238.05399618499757, 43, 510.26676556000007, 0.7209302325581395, '40, 16, 0.3, 1.0, 5, 8, 0.2')
('EL', 1694.5652080650038, -264.6066696069994, 39, 173.13479193500004, 0.717948717948718, '40, 10, 0.2, 1.0, 5, 8, 0.2')
('EL', 1681.2626473870046, -228.9074871370001, 39, 173.1373526130001, 0.6410256410256411, '40, 10, 0.2, 1.0, 5, 8, 0.3')
('CDAY', 1680.5107257230004, -35.99161294000002, 30, 311.689274277, 0.7, '30, 16, 0.2, 1.0, 5, 8, 0.3')
('CDAY', 1662.2964180049996, -35.99161294000002, 22, 226.403581995, 0.8181818181818182, '40, 10, 0.2, 1.0, 5, 8, 0.3')
('MRK', 1653.2282167186363, -367.77305242735594, 48, 453.54038328136016, 0.625, '40, 16, 0.2, 1.0, 5, 8, 0.5')
('EL', 1648.2273146640023, -228.43747637400054, 39, 173.14268533600008, 0.6153846153846154, '40, 10, 0.2, 1.0, 5, 8, 0.5')
